127.0.0.1 - - [15/Sep/2019:19:47:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:52:38 +0530] "GET /waterplant_web/js/app.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:20:13 +0530] "GET /waterplant_web/userlogin.jsp HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:20:52 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=83008237&password=ygtf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:20:52 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:23:24 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=786321&password=gerg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:23:24 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:20 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:21 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:21 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:21 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:21 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:21 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:20:37:22 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:12:50 +0530] "GET /waterplant_web/index.jsp HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:12:50 +0530] "GET /waterplant_web/js/app.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:12:56 +0530] "GET /waterplant_web/adminlogin.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:27 +0530] "GET /waterplant_web/LoginAdminServlet?name=NARESH&password=NARESH HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:27 +0530] "GET /waterplant_web/admin.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:30 +0530] "GET /waterplant_web/viewusers.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:31 +0530] "GET /waterplant_web/ViewUsersServlet HTTP/1.1" 200 466
